model_kind,fold,layer,phase,accuracy,balanced_accuracy,auroc,n_test,train_phase,test_phase
phase_transfer,0,23,pre_selector,0.5,0.5,0.5,64,pre_selector,pre_selector
phase_transfer,1,23,pre_selector,0.5,0.5,0.5,48,pre_selector,pre_selector
phase_transfer,2,23,pre_selector,0.5,0.5,0.5,48,pre_selector,pre_selector
phase_transfer,3,23,pre_selector,0.5,0.5,0.5,48,pre_selector,pre_selector
phase_transfer,4,23,pre_selector,0.5,0.5,0.5,48,pre_selector,pre_selector
phase_transfer,0,23,post_selector,0.5,0.5,0.5,64,pre_selector,post_selector
phase_transfer,1,23,post_selector,0.5,0.5,0.5,48,pre_selector,post_selector
phase_transfer,2,23,post_selector,0.5,0.5,0.5,48,pre_selector,post_selector
phase_transfer,3,23,post_selector,0.5,0.5,0.5,48,pre_selector,post_selector
phase_transfer,4,23,post_selector,0.5,0.5,0.5,48,pre_selector,post_selector
phase_transfer,0,23,public_task_span,0.5,0.5,0.5,64,pre_selector,public_task_span
phase_transfer,1,23,public_task_span,0.5,0.5,0.5,48,pre_selector,public_task_span
phase_transfer,2,23,public_task_span,0.5,0.5,0.5,48,pre_selector,public_task_span
phase_transfer,3,23,public_task_span,0.5,0.5,0.5,48,pre_selector,public_task_span
phase_transfer,4,23,public_task_span,0.5,0.5,0.5,48,pre_selector,public_task_span
phase_transfer,0,23,final_prompt,0.5,0.5,0.5,64,pre_selector,final_prompt
phase_transfer,1,23,final_prompt,0.5,0.5,0.5,48,pre_selector,final_prompt
phase_transfer,2,23,final_prompt,0.5,0.5,0.5,48,pre_selector,final_prompt
phase_transfer,3,23,final_prompt,0.5,0.5,0.5,48,pre_selector,final_prompt
phase_transfer,4,23,final_prompt,0.5,0.5,0.5,48,pre_selector,final_prompt
phase_transfer,0,23,response_first,0.5,0.5,0.5,64,pre_selector,response_first
phase_transfer,1,23,response_first,0.5,0.5,0.5,48,pre_selector,response_first
phase_transfer,2,23,response_first,0.5,0.5,0.5,48,pre_selector,response_first
phase_transfer,3,23,response_first,0.5,0.5,0.5,48,pre_selector,response_first
phase_transfer,4,23,response_first,0.5,0.5,0.5,48,pre_selector,response_first
phase_transfer,0,23,response_mean,0.5,0.5,0.5,64,pre_selector,response_mean
phase_transfer,1,23,response_mean,0.5,0.5,0.5,48,pre_selector,response_mean
phase_transfer,2,23,response_mean,0.5,0.5,0.5,48,pre_selector,response_mean
phase_transfer,3,23,response_mean,0.5,0.5,0.5,48,pre_selector,response_mean
phase_transfer,4,23,response_mean,0.5,0.5,0.5,48,pre_selector,response_mean
phase_transfer,0,23,pre_selector,0.5,0.5,0.5,64,post_selector,pre_selector
phase_transfer,1,23,pre_selector,0.5,0.5,0.5,48,post_selector,pre_selector
phase_transfer,2,23,pre_selector,0.5,0.5,0.5,48,post_selector,pre_selector
phase_transfer,3,23,pre_selector,0.5,0.5,0.5,48,post_selector,pre_selector
